,feature_no,HER2+_fi,HR+_fi,TN_fi,mean_fi,gene_ids
0,2184,0.4926864168420434,0.3098331539425999,0.1896985554229468,0.33073937540253,"['ENSG00000113492', 'ENSG00000064999', 'ENSG00000148498', 'ENSG00000172915', 'ENSG00000134138', 'ENSG00000173991', 'ENSG00000080839', 'ENSG00000100345']"
1,2379,0.11384641949087382,0.152282440289855,0.05187125959433615,0.10600003979168832,"['ENSG00000142892', 'ENSG00000176204', 'ENSG00000185008', 'ENSG00000132842', 'ENSG00000148655', 'ENSG00000063761', 'ENSG00000186153', 'ENSG00000183684', 'ENSG00000173198']"
2,230,0.019901155572515563,0.1416456750780344,0.14287896893918514,0.1014752665299117,['ENSG00000118200']
3,855,0.14156256567686795,0.14621780967339873,0.015024482104927302,0.10093495248506466,"['ENSG00000113658', 'ENSG00000123453']"
4,2213,0.14279032319784166,0.10128121502697468,0.0389466427534353,0.09433939365941721,"['ENSG00000117013', 'ENSG00000064042', 'ENSG00000171495', 'ENSG00000134283', 'ENSG00000102763', 'ENSG00000159459', 'ENSG00000196090', 'ENSG00000171587']"
5,2421,0.04810203619301319,0.1343500216305256,0.09939841980114579,0.09395015920822819,"['ENSG00000171094', 'ENSG00000144642', 'ENSG00000133687', 'ENSG00000169918', 'ENSG00000141431', 'ENSG00000101294', 'ENSG00000215533', 'ENSG00000184792', 'ENSG00000169306']"
6,2219,0.13756937325000762,0.09407841686159372,0.04740027340478264,0.093016021172128,"['ENSG00000182606', 'ENSG00000124406', 'ENSG00000137413', 'ENSG00000106571', 'ENSG00000104368', 'ENSG00000184961', 'ENSG00000197120', 'ENSG00000173157', 'ENSG00000171877', 'ENSG00000073969', 'ENSG00000141956', 'ENSG00000186732', 'ENSG00000212635']"
7,2126,0.13091196618042886,0.04230630194302648,0.10364435253897682,0.09228754022081072,"['ENSG00000084710', 'ENSG00000153790', 'ENSG00000147459', 'ENSG00000099256', 'ENSG00000118307', 'ENSG00000132932', 'ENSG00000182256', 'ENSG00000141298', 'ENSG00000100994', 'ENSG00000100099']"
8,2221,0.13257490534335375,0.08159702831879258,0.055493620093911886,0.08988851791868607,"['ENSG00000177181', 'ENSG00000057935', 'ENSG00000114857', 'ENSG00000215203', 'ENSG00000112964', 'ENSG00000024048', 'ENSG00000139173', 'ENSG00000104133', 'ENSG00000198336', 'ENSG00000078043', 'ENSG00000196437', 'ENSG00000168734']"
9,2424,0.0378100436963723,0.12645921619609,0.09968493577092886,0.08798473188779705,"['ENSG00000198815', 'ENSG00000124496', 'ENSG00000168575', 'ENSG00000196693', 'ENSG00000198001', 'ENSG00000133106', 'ENSG00000166734', 'ENSG00000101076', 'ENSG00000186976']"
10,2211,0.1304271899908781,0.09439044535160064,0.03778764959424734,0.0875350949789087,"['ENSG00000117016', 'ENSG00000163697', 'ENSG00000175600', 'ENSG00000165061', 'ENSG00000015153', 'ENSG00000128881', 'ENSG00000152217', 'ENSG00000105668', 'ENSG00000196090', 'ENSG00000171587', 'ENSG00000124486']"
11,983,0.026709451173665,0.1123432594165206,0.10785217341035605,0.08230162800018055,"['ENSG00000168702', 'ENSG00000113578', 'ENSG00000169398']"
12,2113,0.12175977788265299,0.07439492137549678,0.0506747445649853,0.08227648127437837,"['ENSG00000088280', 'ENSG00000169193', 'ENSG00000179133', 'ENSG00000134532', 'ENSG00000215564', 'ENSG00000182957', 'ENSG00000129535', 'ENSG00000100889', 'ENSG00000206190', 'ENSG00000197372', 'ENSG00000167037', 'ENSG00000123130']"
13,1057,0.03364774943212979,0.11734952103346587,0.0946676430478692,0.08188830450448828,"['ENSG00000126067', 'ENSG00000047365', 'ENSG00000122545', 'ENSG00000108100', 'ENSG00000132792', 'ENSG00000100385', 'ENSG00000165164']"
14,2056,0.11925151407718658,0.046909942692145705,0.07916290752589702,0.08177478809840977,"['ENSG00000197530', 'ENSG00000153395', 'ENSG00000215157', 'ENSG00000198517', 'ENSG00000198010', 'ENSG00000185736', 'ENSG00000184545', 'ENSG00000187535', 'ENSG00000131634', 'ENSG00000071655', 'ENSG00000101307', 'ENSG00000182162']"
15,486,0.1196416318230331,0.022866060306914734,0.10216821322217584,0.08155863511737456,"['ENSG00000081237', 'ENSG00000138411']"
16,1035,0.06350198006257415,0.11873270764946937,0.06235577672719955,0.08153015481308103,"['ENSG00000060656', 'ENSG00000171094', 'ENSG00000144642', 'ENSG00000112462', 'ENSG00000206474', 'ENSG00000106069', 'ENSG00000187950', 'ENSG00000205534', 'ENSG00000108684', 'ENSG00000141431', 'ENSG00000180424', 'ENSG00000215533', 'ENSG00000184792', 'ENSG00000169306']"
