,feature_no,chromosome,start,end,mean_fi,HER2+_fi,HR+_fi,TN_fi,gene_ids
0,2184,17,35076296,35282086,0.13790306560860094,0.1871239322447218,0.15305530002573506,0.07352996455534594,"['ENSG00000163866', 'ENSG00000116544', 'ENSG00000204105', 'ENSG00000163867', 'ENSG00000212442', 'ENSG00000206665', 'ENSG00000113494', 'ENSG00000187762', 'ENSG00000124678', 'ENSG00000189212', 'ENSG00000210469', 'ENSG00000164532', 'ENSG00000165282', 'ENSG00000165283', 'ENSG00000005238', 'ENSG00000215198', 'ENSG00000217119', 'ENSG00000223047', 'ENSG00000222909', 'ENSG00000209731', 'ENSG00000026508', 'ENSG00000206676', 'ENSG00000141744', 'ENSG00000161395', 'ENSG00000141736', 'ENSG00000141741', 'ENSG00000141738', 'ENSG00000161405', 'ENSG00000218970', 'ENSG00000175886', 'ENSG00000105176', 'ENSG00000213093', 'ENSG00000213092', 'ENSG00000216848', 'ENSG00000219598', 'ENSG00000101353', 'ENSG00000220593', 'ENSG00000219717', 'ENSG00000100348', 'ENSG00000100350', 'ENSG00000100353', 'ENSG00000188078']"
1,192,1,149369522,149394958,0.058690504847885086,0.020611466654154354,0.07587161742150783,0.07958843046799302,"['ENSG00000143434', 'ENSG00000208633']"
2,1061,8,36512939,36612488,0.0475947823872169,0.032824837625958024,0.06999988351017236,0.039959626025520265,"['ENSG00000215896', 'ENSG00000214193', 'ENSG00000142694', 'ENSG00000116883', 'ENSG00000222178', 'ENSG00000112078', 'ENSG00000222599', 'ENSG00000210685', 'ENSG00000210720', 'ENSG00000222789', 'ENSG00000210490', 'ENSG00000166349', 'ENSG00000175097', 'ENSG00000180138', 'ENSG00000171262', 'ENSG00000212722', 'ENSG00000212721', 'ENSG00000213416', 'ENSG00000198090', 'ENSG00000198271', 'ENSG00000171396', 'ENSG00000196156', 'ENSG00000212660', 'ENSG00000198443', 'ENSG00000218712', 'ENSG00000198083', 'ENSG00000220476', 'ENSG00000209949', 'ENSG00000214867', 'ENSG00000189060', 'ENSG00000100116', 'ENSG00000128310', 'ENSG00000100124', 'ENSG00000207945', 'ENSG00000207696']"
3,1062,8,36627162,36673994,0.047508629375539985,0.05933836074080318,0.07159575812984258,0.011591769255974214,"['ENSG00000181817', 'ENSG00000222821', 'ENSG00000201448', 'ENSG00000179926', 'ENSG00000221561', 'ENSG00000202395', 'ENSG00000204875', 'ENSG00000204873', 'ENSG00000187272', 'ENSG00000221824', 'ENSG00000213415', 'ENSG00000182035', 'ENSG00000100139', 'ENSG00000220231', 'ENSG00000217443']"
4,1059,8,36347029,36416687,0.042171091500980154,0.034028350501321254,0.06237780002877116,0.03010712397284806,"['ENSG00000054116', 'ENSG00000218238', 'ENSG00000189325', 'ENSG00000219306', 'ENSG00000216240', 'ENSG00000219577', 'ENSG00000196859', 'ENSG00000204889', 'ENSG00000196596', 'ENSG00000180576', 'ENSG00000216463', 'ENSG00000101425', 'ENSG00000200213', 'ENSG00000159228', 'ENSG00000100092', 'ENSG00000221912', 'ENSG00000209451', 'ENSG00000100097']"
5,1060,8,36426253,36481039,0.04135366487704838,0.03711928009986878,0.06176650170236826,0.025175212828908115,"['ENSG00000218941', 'ENSG00000010030', 'ENSG00000179165', 'ENSG00000221852', 'ENSG00000221880', 'ENSG00000188581', 'ENSG00000212725', 'ENSG00000214518', 'ENSG00000212724', 'ENSG00000213417', 'ENSG00000214889', 'ENSG00000159231', 'ENSG00000219887']"
6,1057,8,35875555,36133992,0.039569528611997765,0.03381802499294281,0.05871152928099036,0.02617903156206012,"['ENSG00000142686', 'ENSG00000092853', 'ENSG00000134698', 'ENSG00000197057', 'ENSG00000168685', 'ENSG00000152611', 'ENSG00000145626', 'ENSG00000168671', 'ENSG00000197753', 'ENSG00000096063', 'ENSG00000112053', 'ENSG00000200446', 'ENSG00000205745', 'ENSG00000196196', 'ENSG00000216898', 'ENSG00000122718', 'ENSG00000213866', 'ENSG00000179443', 'ENSG00000217749', 'ENSG00000217675', 'ENSG00000122707', 'ENSG00000177291', 'ENSG00000185102', 'ENSG00000177283', 'ENSG00000218744', 'ENSG00000133101', 'ENSG00000219602', 'ENSG00000188831', 'ENSG00000136352', 'ENSG00000136327', 'ENSG00000201395', 'ENSG00000166069', 'ENSG00000131746', 'ENSG00000126353', 'ENSG00000198587', 'ENSG00000180193', 'ENSG00000073584', 'ENSG00000213424', 'ENSG00000220264', 'ENSG00000167916', 'ENSG00000132821', 'ENSG00000199683', 'ENSG00000101407', 'ENSG00000199507', 'ENSG00000217521', 'ENSG00000211590', 'ENSG00000216415', 'ENSG00000133466', 'ENSG00000183473', 'ENSG00000220493', 'ENSG00000128340', 'ENSG00000100055', 'ENSG00000197900', 'ENSG00000206733', 'ENSG00000176034']"
7,2206,17,38035466,38070950,0.03953573697246611,0.05367117619141936,0.035380181213840844,0.029555853512138127,"['ENSG00000196449', 'ENSG00000197982', 'ENSG00000201967', 'ENSG00000100316', 'ENSG00000209480', 'ENSG00000209482', 'ENSG00000200465', 'ENSG00000210680']"
8,2017,16,67314736,68371045,0.03940781220348679,0.010841550105869829,0.04922960759140551,0.058152278913185,"['ENSG00000203963', 'ENSG00000210924', 'ENSG00000162594', 'ENSG00000210928', 'ENSG00000221733', 'ENSG00000210936', 'ENSG00000217598', 'ENSG00000081985', 'ENSG00000142864', 'ENSG00000223263', 'ENSG00000207504', 'ENSG00000218633', 'ENSG00000210968', 'ENSG00000222475', 'ENSG00000216291', 'ENSG00000116717', 'ENSG00000172380', 'ENSG00000210979', 'ENSG00000217790', 'ENSG00000162595', 'ENSG00000217052', 'ENSG00000143971', 'ENSG00000219288', 'ENSG00000197223', 'ENSG00000221823', 'ENSG00000115946', 'ENSG00000115953', 'ENSG00000216115', 'ENSG00000221619', 'ENSG00000221443', 'ENSG00000172340', 'ENSG00000210957', 'ENSG00000214552', 'ENSG00000206629', 'ENSG00000145241', 'ENSG00000035720', 'ENSG00000033178', 'ENSG00000215128', 'ENSG00000109163', 'ENSG00000202374', 'ENSG00000213864', 'ENSG00000145675', 'ENSG00000212249', 'ENSG00000222762', 'ENSG00000220995', 'ENSG00000212229', 'ENSG00000211117', 'ENSG00000201015', 'ENSG00000222428', 'ENSG00000211257', 'ENSG00000211270', 'ENSG00000200189', 'ENSG00000179041', 'ENSG00000147576', 'ENSG00000169085', 'ENSG00000206949', 'ENSG00000185697', 'ENSG00000219180', 'ENSG00000175073', 'ENSG00000201365', 'ENSG00000213865', 'ENSG00000104205', 'ENSG00000213005', 'ENSG00000178460', 'ENSG00000201719', 'ENSG00000187728', 'ENSG00000178125', 'ENSG00000121022', 'ENSG00000104218', 'ENSG00000211220', 'ENSG00000199432', 'ENSG00000219052', 'ENSG00000170217', 'ENSG00000217978', 'ENSG00000219715', 'ENSG00000220562', 'ENSG00000170215', 'ENSG00000217190', 'ENSG00000210988', 'ENSG00000218061', 'ENSG00000204835', 'ENSG00000196774', 'ENSG00000212573', 'ENSG00000155282', 'ENSG00000188442', 'ENSG00000220544', 'ENSG00000218775', 'ENSG00000217217', 'ENSG00000218079', 'ENSG00000218879', 'ENSG00000220186', 'ENSG00000219957', 'ENSG00000207277', 'ENSG00000219132', 'ENSG00000217091', 'ENSG00000219850', 'ENSG00000210997', 'ENSG00000220533', 'ENSG00000204794', 'ENSG00000221709', 'ENSG00000221780', 'ENSG00000221045', 'ENSG00000211010', 'ENSG00000210060', 'ENSG00000171084', 'ENSG00000206587', 'ENSG00000221553', 'ENSG00000110057', 'ENSG00000006534', 'ENSG00000110717', 'ENSG00000110719', 'ENSG00000110721', 'ENSG00000110066', 'ENSG00000210235', 'ENSG00000171067', 'ENSG00000162337', 'ENSG00000210241', 'ENSG00000110075', 'ENSG00000222339', 'ENSG00000212093', 'ENSG00000069482', 'ENSG00000132749', 'ENSG00000110090', 'ENSG00000212416', 'ENSG00000198751', 'ENSG00000111581', 'ENSG00000175782', 'ENSG00000135679', 'ENSG00000135678', 'ENSG00000221422', 'ENSG00000111605', 'ENSG00000090382', 'ENSG00000127337', 'ENSG00000223320', 'ENSG00000166225', 'ENSG00000205128', 'ENSG00000166226', 'ENSG00000198812', 'ENSG00000217316', 'ENSG00000218495', 'ENSG00000217105', 'ENSG00000220172', 'ENSG00000216655', 'ENSG00000218340', 'ENSG00000219689', 'ENSG00000209895', 'ENSG00000209896', 'ENSG00000209906', 'ENSG00000182185', 'ENSG00000210045', 'ENSG00000222384', 'ENSG00000210054', 'ENSG00000219350', 'ENSG00000213482', 'ENSG00000207089', 'ENSG00000185650', 'ENSG00000221899', 'ENSG00000209038', 'ENSG00000137819', 'ENSG00000221376', 'ENSG00000211370', 'ENSG00000207395', 'ENSG00000137807', 'ENSG00000137818', 'ENSG00000207119', 'ENSG00000215958', 'ENSG00000140332', 'ENSG00000207965', 'ENSG00000200216', 'ENSG00000039068', 'ENSG00000200558', 'ENSG00000103047', 'ENSG00000199979', 'ENSG00000203389', 'ENSG00000202497', 'ENSG00000103044', 'ENSG00000168802', 'ENSG00000141076', 'ENSG00000207083', 'ENSG00000168807', 'ENSG00000200164', 'ENSG00000132612', 'ENSG00000213380', 'ENSG00000157312', 'ENSG00000132603', 'ENSG00000157315', 'ENSG00000132604', 'ENSG00000210643', 'ENSG00000210644', 'ENSG00000103018', 'ENSG00000102908', 'ENSG00000223109', 'ENSG00000210650', 'ENSG00000181019', 'ENSG00000141101', 'ENSG00000218389', 'ENSG00000125398', 'ENSG00000211264', 'ENSG00000200783', 'ENSG00000222545', 'ENSG00000212143', 'ENSG00000141668', 'ENSG00000206646', 'ENSG00000211182', 'ENSG00000219134', 'ENSG00000181704', 'ENSG00000206747', 'ENSG00000219815', 'ENSG00000216592', 'ENSG00000130052', 'ENSG00000216820', 'ENSG00000213740', 'ENSG00000090776', 'ENSG00000181191', 'ENSG00000220736', 'ENSG00000215162']"
9,2026,16,69763173,70593293,0.039086052107159056,0.015110359338577836,0.051841454477980733,0.050306342504918576,"['ENSG00000033122', 'ENSG00000222402', 'ENSG00000210993', 'ENSG00000066557', 'ENSG00000211001', 'ENSG00000223311', 'ENSG00000116754', 'ENSG00000118454', 'ENSG00000196975', 'ENSG00000087338', 'ENSG00000124380', 'ENSG00000208956', 'ENSG00000059728', 'ENSG00000208950', 'ENSG00000179818', 'ENSG00000169564', 'ENSG00000115998', 'ENSG00000116001', 'ENSG00000221238', 'ENSG00000116005', 'ENSG00000143977', 'ENSG00000035141', 'ENSG00000215996', 'ENSG00000187098', 'ENSG00000210976', 'ENSG00000214538', 'ENSG00000222615', 'ENSG00000205660', 'ENSG00000135220', 'ENSG00000213759', 'ENSG00000198277', 'ENSG00000171234', 'ENSG00000196472', 'ENSG00000135226', 'ENSG00000215111', 'ENSG00000215110', 'ENSG00000210783', 'ENSG00000156096', 'ENSG00000173610', 'ENSG00000197370', 'ENSG00000205565', 'ENSG00000196302', 'ENSG00000197284', 'ENSG00000205561', 'ENSG00000172058', 'ENSG00000172062', 'ENSG00000081770', 'ENSG00000145736', 'ENSG00000210838', 'ENSG00000205550', 'ENSG00000168216', 'ENSG00000219085', 'ENSG00000219881', 'ENSG00000211280', 'ENSG00000211281', 'ENSG00000211286', 'ENSG00000213846', 'ENSG00000211297', 'ENSG00000217725', 'ENSG00000220929', 'ENSG00000217001', 'ENSG00000219068', 'ENSG00000196873', 'ENSG00000196179', 'ENSG00000187559', 'ENSG00000154330', 'ENSG00000181778', 'ENSG00000220017', 'ENSG00000187866', 'ENSG00000204130', 'ENSG00000138346', 'ENSG00000219515', 'ENSG00000199638', 'ENSG00000122912', 'ENSG00000218983', 'ENSG00000207438', 'ENSG00000214881', 'ENSG00000138336', 'ENSG00000216826', 'ENSG00000210150', 'ENSG00000217278', 'ENSG00000060339', 'ENSG00000195401', 'ENSG00000221182', 'ENSG00000221184', 'ENSG00000165730', 'ENSG00000200218', 'ENSG00000107625', 'ENSG00000206855', 'ENSG00000165732', 'ENSG00000198954', 'ENSG00000214875', 'ENSG00000210185', 'ENSG00000220230', 'ENSG00000122862', 'ENSG00000218722', 'ENSG00000210201', 'ENSG00000131626', 'ENSG00000221333', 'ENSG00000085733', 'ENSG00000162105', 'ENSG00000207196', 'ENSG00000171671', 'ENSG00000127324', 'ENSG00000139292', 'ENSG00000133858', 'ENSG00000212461', 'ENSG00000173451', 'ENSG00000139291', 'ENSG00000080371', 'ENSG00000202433', 'ENSG00000220649', 'ENSG00000222640', 'ENSG00000213463', 'ENSG00000213462', 'ENSG00000139985', 'ENSG00000176082', 'ENSG00000199835', 'ENSG00000134007', 'ENSG00000133997', 'ENSG00000214720', 'ENSG00000222147', 'ENSG00000210126', 'ENSG00000133985', 'ENSG00000006432', 'ENSG00000203496', 'ENSG00000031544', 'ENSG00000066933', 'ENSG00000200873', 'ENSG00000214713', 'ENSG00000222094', 'ENSG00000211414', 'ENSG00000223253', 'ENSG00000166192', 'ENSG00000175318', 'ENSG00000067225', 'ENSG00000137817', 'ENSG00000140488', 'ENSG00000213614', 'ENSG00000187806', 'ENSG00000203499', 'ENSG00000180917', 'ENSG00000221237', 'ENSG00000172137', 'ENSG00000167377', 'ENSG00000157429', 'ENSG00000140835', 'ENSG00000198650', 'ENSG00000140832', 'ENSG00000040199', 'ENSG00000199301', 'ENSG00000207471', 'ENSG00000166747', 'ENSG00000223224', 'ENSG00000102984', 'ENSG00000182149', 'ENSG00000187008', 'ENSG00000171595', 'ENSG00000196169', 'ENSG00000204347', 'ENSG00000221981', 'ENSG00000200021', 'ENSG00000170412', 'ENSG00000167851', 'ENSG00000178789', 'ENSG00000167850', 'ENSG00000217219', 'ENSG00000218076', 'ENSG00000204345', 'ENSG00000182352', 'ENSG00000186407', 'ENSG00000172794', 'ENSG00000186074', 'ENSG00000109062', 'ENSG00000109065', 'ENSG00000109066', 'ENSG00000161509', 'ENSG00000161513', 'ENSG00000172782', 'ENSG00000182040', 'ENSG00000183034', 'ENSG00000182938', 'ENSG00000167861', 'ENSG00000109089', 'ENSG00000167862', 'ENSG00000167863', 'ENSG00000222347', 'ENSG00000211310', 'ENSG00000180901', 'ENSG00000141665', 'ENSG00000075336', 'ENSG00000210553', 'ENSG00000222340', 'ENSG00000166347', 'ENSG00000206043', 'ENSG00000187773', 'ENSG00000133313', 'ENSG00000150656', 'ENSG00000206029', 'ENSG00000217830', 'ENSG00000199769', 'ENSG00000217150', 'ENSG00000165349', 'ENSG00000220344', 'ENSG00000217787', 'ENSG00000212605', 'ENSG00000219791', 'ENSG00000147164', 'ENSG00000184481', 'ENSG00000204165', 'ENSG00000147168', 'ENSG00000184634', 'ENSG00000196338', 'ENSG00000169562', 'ENSG00000147130', 'ENSG00000147140', 'ENSG00000147166', 'ENSG00000218931', 'ENSG00000213706', 'ENSG00000220342', 'ENSG00000216973']"
10,2211,17,40859120,40926154,0.03808168210554867,0.05262521306052804,0.03366412135772407,0.02795571189839393,"['ENSG00000145592', 'ENSG00000212296', 'ENSG00000132357', 'ENSG00000209911', 'ENSG00000209914', 'ENSG00000205240', 'ENSG00000174126', 'ENSG00000215480', 'ENSG00000221695', 'ENSG00000159314', 'ENSG00000141342', 'ENSG00000011590', 'ENSG00000105663', 'ENSG00000126246', 'ENSG00000210501', 'ENSG00000221396', 'ENSG00000205702', 'ENSG00000218093']"
11,2056,17,1542118,1560766,0.036864950076366455,0.04911225199699402,0.03541257564909756,0.026070022583007814,"['ENSG00000189409', 'ENSG00000054598', 'ENSG00000185561', 'ENSG00000127540']"
12,2379,17,77442683,77478901,0.03664779956325825,0.05170717355795205,0.036824582577683035,0.02141164255413969,"['ENSG00000213450', 'ENSG00000118804', 'ENSG00000151365', 'ENSG00000151366', 'ENSG00000141552', 'ENSG00000183979', 'ENSG00000185813', 'ENSG00000187531', 'ENSG00000197063']"
13,1091,8,42123757,42175380,0.03661205616005341,0.04167890236829407,0.05642289085779339,0.011734375254072803,"['ENSG00000162878', 'ENSG00000137413', 'ENSG00000070718', 'ENSG00000215146', 'ENSG00000219457', 'ENSG00000213326']"
14,854,6,135286400,135498058,0.03601364148863164,0.045606491998769344,0.05509828606620431,0.00733614640092128,"['ENSG00000153086', 'ENSG00000082258', 'ENSG00000163785', 'ENSG00000164616', 'ENSG00000145826', 'ENSG00000120708', 'ENSG00000202030', 'ENSG00000112339', 'ENSG00000199700', 'ENSG00000206705', 'ENSG00000160325', 'ENSG00000160326', 'ENSG00000187616', 'ENSG00000197859', 'ENSG00000196990', 'ENSG00000148828', 'ENSG00000219775', 'ENSG00000214273', 'ENSG00000218081', 'ENSG00000221108', 'ENSG00000218611', 'ENSG00000203771', 'ENSG00000203770', 'ENSG00000203769', 'ENSG00000203768', 'ENSG00000203767', 'ENSG00000203766', 'ENSG00000216684', 'ENSG00000213147', 'ENSG00000102239', 'ENSG00000102241', 'ENSG00000102243', 'ENSG00000216060', 'ENSG00000199424', 'ENSG00000208559']"
